date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
06:17:36	1367/1367	---MCZ	404	error ('Not%20Found')	text/html	etag:1770938427-ssl-df	https://cahaya-reza-wedding.netlify.app/robots.txt		(from )
06:17:36	54815/54815	---MCZ	200	added ('OK')	text/html	etag:%22dfa854a96c24826c8e1cb23470274e29-ssl-df%22	https://cahaya-reza-wedding.netlify.app/?to=Raisa%20Humaira	D:/wedding%202/cahaya-reza-wedding.netlify.app/indexc14f.html	(from )
06:17:37	54815/54815	---M-Z	200	added ('OK')	text/html	etag:%22dfa854a96c24826c8e1cb23470274e29-ssl-df%22	https://cahaya-reza-wedding.netlify.app/	D:/wedding%202/cahaya-reza-wedding.netlify.app/index.html	(from https://cahaya-reza-wedding.netlify.app/?to=Raisa%20Humaira)
06:17:37	352223/352223	---M--	200	added ('OK')	image/jpeg	etag:%22bddb6f4487b21273a8abba5d317aac19-ssl%22	https://cahaya-reza-wedding.netlify.app/open.jpg	D:/wedding%202/cahaya-reza-wedding.netlify.app/open.jpg	(from https://cahaya-reza-wedding.netlify.app/?to=Raisa%20Humaira)
06:17:37	242277/242277	---M--	200	added ('OK')	image/jpeg	etag:%222e493118caecb6ebba1e64b21073e7e5-ssl%22	https://cahaya-reza-wedding.netlify.app/og-cahaya-reza.jpg	D:/wedding%202/cahaya-reza-wedding.netlify.app/og-cahaya-reza.jpg	(from https://cahaya-reza-wedding.netlify.app/?to=Raisa%20Humaira)
06:17:38	446540/446540	---M--	200	added ('OK')	image/jpeg	etag:%22529e1e995b1c9aa09d2cf8d6083da03b-ssl%22	https://cahaya-reza-wedding.netlify.app/cover.jpg	D:/wedding%202/cahaya-reza-wedding.netlify.app/cover.jpg	(from https://cahaya-reza-wedding.netlify.app/?to=Raisa%20Humaira)
06:17:38	3449/3449	---MCZ	404	error ('Not%20Found')	text/html	etag:1770938427-ssl-df	https://cahaya-reza-wedding.netlify.app/batik.png	D:/wedding%202/cahaya-reza-wedding.netlify.app/batik.3.delayed	(from https://cahaya-reza-wedding.netlify.app/?to=Raisa%20Humaira)
06:17:38	318892/318892	---M--	200	added ('OK')	image/jpeg	etag:%223cc904be8766010d9c6bffea4b621ddf-ssl%22	https://cahaya-reza-wedding.netlify.app/foto1.jpg	D:/wedding%202/cahaya-reza-wedding.netlify.app/foto1.jpg	(from https://cahaya-reza-wedding.netlify.app/?to=Raisa%20Humaira)
06:17:39	48883/48883	---MCZ	200	added ('OK')	image/svg+xml	etag:%22b3cc3cbc49fc4ddcaf4403cd6a6f41aa-ssl-df%22	https://cahaya-reza-wedding.netlify.app/event.svg	D:/wedding%202/cahaya-reza-wedding.netlify.app/event.svg	(from https://cahaya-reza-wedding.netlify.app/?to=Raisa%20Humaira)
06:17:39	459641/459641	---M--	200	added ('OK')	image/jpeg	etag:%22983a78c2497ebdadeea3a7d3231e99da-ssl%22	https://cahaya-reza-wedding.netlify.app/foto2.jpg	D:/wedding%202/cahaya-reza-wedding.netlify.app/foto2.jpg	(from https://cahaya-reza-wedding.netlify.app/?to=Raisa%20Humaira)
06:17:40	441147/441147	---M--	200	added ('OK')	image/jpeg	etag:%229861b9ed3675446cf9f0c949eeebaa61-ssl%22	https://cahaya-reza-wedding.netlify.app/foto3.jpg	D:/wedding%202/cahaya-reza-wedding.netlify.app/foto3.jpg	(from https://cahaya-reza-wedding.netlify.app/?to=Raisa%20Humaira)
06:17:40	461791/461791	---M--	200	added ('OK')	image/jpeg	etag:%2235c4a8bd91aa217802469f2da9af7bd8-ssl%22	https://cahaya-reza-wedding.netlify.app/foto4.jpg	D:/wedding%202/cahaya-reza-wedding.netlify.app/foto4.jpg	(from https://cahaya-reza-wedding.netlify.app/?to=Raisa%20Humaira)
06:17:40	670515/670515	---M--	200	added ('OK')	image/jpeg	etag:%2261c9d9ff3e028c463d465b187f8d85d0-ssl%22	https://cahaya-reza-wedding.netlify.app/bride1.jpg	D:/wedding%202/cahaya-reza-wedding.netlify.app/bride1.jpg	(from https://cahaya-reza-wedding.netlify.app/?to=Raisa%20Humaira)
06:17:41	496738/496738	---M--	200	added ('OK')	image/jpeg	etag:%228858dfb3c7c8dcaf252ee28d2a06405c-ssl%22	https://cahaya-reza-wedding.netlify.app/bride2.jpg	D:/wedding%202/cahaya-reza-wedding.netlify.app/bride2.jpg	(from https://cahaya-reza-wedding.netlify.app/?to=Raisa%20Humaira)
06:17:41	53029/53029	---MCZ	200	added ('OK')	image/svg+xml	etag:%22cf845b70f4c1b6cb662e073d9c0639f5-ssl-df%22	https://cahaya-reza-wedding.netlify.app/ig.svg	D:/wedding%202/cahaya-reza-wedding.netlify.app/ig.svg	(from https://cahaya-reza-wedding.netlify.app/?to=Raisa%20Humaira)
06:17:41	450979/450979	---M--	200	added ('OK')	image/jpeg	etag:%22d96ee3ca4be6c0e6710c5d6a6e1a262f-ssl%22	https://cahaya-reza-wedding.netlify.app/groom2.jpg	D:/wedding%202/cahaya-reza-wedding.netlify.app/groom2.jpg	(from https://cahaya-reza-wedding.netlify.app/?to=Raisa%20Humaira)
06:17:42	910936/910936	---M--	200	added ('OK')	image/jpeg	etag:%22be45a2c6283c040126ceb63baa7f24d8-ssl%22	https://cahaya-reza-wedding.netlify.app/groom1.jpg	D:/wedding%202/cahaya-reza-wedding.netlify.app/groom1.jpg	(from https://cahaya-reza-wedding.netlify.app/?to=Raisa%20Humaira)
06:17:42	889224/889224	---M--	200	added ('OK')	image/jpeg	etag:%2272540c1ea2fd31781ee1814e7abdc79f-ssl%22	https://cahaya-reza-wedding.netlify.app/akad.jpg	D:/wedding%202/cahaya-reza-wedding.netlify.app/akad.jpg	(from https://cahaya-reza-wedding.netlify.app/?to=Raisa%20Humaira)
06:17:42	361590/361590	---M--	200	added ('OK')	image/jpeg	etag:%22bc613d444258f2ee10995a7e4f3c2949-ssl%22	https://cahaya-reza-wedding.netlify.app/resepsi.jpg	D:/wedding%202/cahaya-reza-wedding.netlify.app/resepsi.jpg	(from https://cahaya-reza-wedding.netlify.app/?to=Raisa%20Humaira)
06:17:43	328236/328236	---M--	200	added ('OK')	image/jpeg	etag:%2223aa9eee014bdf527c25583b788cf72b-ssl%22	https://cahaya-reza-wedding.netlify.app/foto5.jpg	D:/wedding%202/cahaya-reza-wedding.netlify.app/foto5.jpg	(from https://cahaya-reza-wedding.netlify.app/?to=Raisa%20Humaira)
